City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,laguna,38.421,-121.4238,64.15,56,0,10.36,US,1710194574
278,pariaman,-0.619,100.12,76.93,87,81,2.17,ID,1710194574
279,faranah,10.0404,-10.7434,87.8,19,65,3.53,GN,1710194574
280,luorong,24.4058,109.6086,58.24,85,0,3.65,CN,1710194574
281,thompson,55.7435,-97.8558,50.16,43,40,6.91,CA,1710194397
282,la gi,10.6667,107.7833,74.62,88,54,12.21,VN,1710194574
283,nagtipunan,16.2167,121.6,72.25,95,100,2.46,PH,1710194574
284,aasiaat,68.7098,-52.8699,0.0,98,66,2.57,GL,1710194422
285,mukalla,14.5425,49.1242,79.95,80,2,4.76,YE,1710194575
286,lazaro cardenas,17.9583,-102.2,84.24,46,0,10.0,MX,1710194508
287,timaru,-44.4,171.25,58.06,88,100,5.01,NZ,1710194575
288,kalmunai,7.4167,81.8167,77.36,80,64,4.14,LK,1710194575
289,langfang,39.5097,116.6947,40.6,42,7,1.25,CN,1710194417
290,bathsheba,13.2167,-59.5167,80.76,75,39,11.48,BB,1710194576
291,salina,38.8403,-97.6114,72.3,32,0,16.11,US,1710194576
292,turan,16.0678,108.2208,71.58,78,40,3.44,VN,1710194576
293,major isidoro,-9.5322,-36.985,83.39,65,78,16.75,BR,1710194576
294,gilgit,35.9221,74.3087,37.13,83,98,2.53,PK,1710194576
295,east london,-33.0153,27.9116,76.64,88,6,18.72,ZA,1710194178
296,olyokminsk,60.3736,120.4264,20.53,97,100,3.4,RU,1710194422
297,las varillas,-31.8721,-62.7195,92.32,66,91,8.3,AR,1710194577
298,las tablas,7.7667,-80.2833,87.17,99,68,20.47,PA,1710194577
299,zhangatas,43.5667,69.75,48.15,85,86,24.96,KZ,1710194577
300,egilsstadir,65.2653,-14.3948,30.79,99,100,9.33,IS,1710194438
301,santyoku,37.4406,129.1708,43.14,73,61,9.01,KR,1710194577
302,ziro,27.6333,93.8333,43.09,71,20,2.59,IN,1710194577
303,volokonovka,50.4827,37.8563,26.73,57,2,4.38,RU,1710194426
304,swan hill,-35.3378,143.5544,81.48,26,84,7.34,AU,1710194578
305,sao joao da barra,-21.6403,-41.0511,77.13,85,25,14.38,BR,1710194578
306,malango,-2.9627,119.9001,68.68,95,100,1.86,ID,1710194578
307,arkalyk,50.2486,66.9114,2.95,100,100,6.02,KZ,1710194415
308,dattapur,20.7667,78.1667,80.35,27,1,7.23,IN,1710194578
309,yemva,62.59,50.8594,7.16,98,95,3.18,RU,1710194578
310,pechora,65.1472,57.2244,-18.15,100,66,4.0,RU,1710194579
311,rawson,-43.3002,-65.1023,71.94,39,30,21.45,AR,1710194488
312,grafton,42.207,-71.6856,42.71,51,0,16.11,US,1710194579
313,sumbe,-11.2061,13.8437,81.12,89,80,7.16,AO,1710194579
314,punta arenas,-53.15,-70.9167,55.51,54,40,6.91,CL,1710194420
315,springs,-26.25,28.4,71.42,75,44,7.2,ZA,1710194455
316,portland,45.5234,-122.6762,49.21,88,100,5.01,US,1710194317
317,trevelin,-43.0858,-71.4639,60.98,74,87,3.13,AR,1710194579
318,vernon,50.2581,-119.2691,50.76,59,95,1.01,CA,1710194565
319,auki,-8.7676,160.7034,82.85,79,100,11.18,SB,1710194430
320,kapchorwa,1.3965,34.4509,64.76,52,5,7.99,UG,1710194580
321,quang ngai,15.1167,108.8,67.41,95,97,2.08,VN,1710194459
322,fortaleza,-3.7227,-38.5247,85.21,79,40,8.05,BR,1710194474
323,lethem,3.3803,-59.7968,96.15,32,54,8.28,GY,1710194580
324,puerto colombia,10.9878,-74.9547,81.19,81,17,29.64,CO,1710194580
325,tual,-5.6667,132.75,82.65,80,100,13.44,ID,1710194580
326,bougouni,11.417,-7.479,90.34,26,94,3.47,ML,1710194581
327,jamestown,42.097,-79.2353,43.52,74,64,14.63,US,1710194414
328,abidjan,5.3094,-4.0197,84.16,89,20,5.75,CI,1710194317
329,kruisfontein,-34.0033,24.7314,71.89,92,16,3.2,ZA,1710194475
330,mangalia,43.8,28.5833,47.37,85,100,15.23,RO,1710194581
